t,y_1,y_2,y_3,y_4
1.22,0.058011537373937,0.0226900196516057,0.49210141861843,0.390116793212118
1.23,0.0580114549754031,0.0226897843935705,0.492094861111214,0.39012345457596
1.24,0.0580113754065554,0.0226895553244522,0.492088474343984,0.390129941311093
1.25,0.0580112981148487,0.0226893308140744,0.492082212830611,0.390136299667387
1.26,0.05801123184582,0.0226891402774489,0.492076900563134,0.390141694627841
1.27,0.0580111749238819,0.0226889783346942,0.492072387037961,0.390146278883649
1.28,0.0580111225053647,0.0226888290280793,0.492068225499189,0.39015050539502
1.29,0.0580110743271748,0.0226886916938722,0.492064397527758,0.390154392977768
1.3,0.0580110301262189,0.022688565668341,0.49206088470461,0.390157960447704
1.31,0.0580109896394036,0.0226884502877536,0.492057668610688,0.390161226620643
1.32,0.0580109526036356,0.022688344888378,0.492054730826933,0.390164210312397
1.33,0.0580109187558213,0.0226882488064822,0.492052052934286,0.39016693033878
1.34,0.0580108878328675,0.0226881613783342,0.492049616513691,0.390169405515605
1.35,0.0580108595716806,0.022688081940202,0.492047403146088,0.390171654658685
1.36,0.0580108337091674,0.0226880098283536,0.492045394412419,0.390173696583833
1.37,0.0580108099822345,0.0226879443790569,0.492043571893625,0.390175550106863
1.38,0.0580107660138368,0.0226878213589676,0.492040145164964,0.390179033197106
1.39,0.0580107209466117,0.0226876950815812,0.492036627580515,0.390182608430768
1.4,0.0580106782805939,0.022687575553874,0.492033298036729,0.390185992571319
1.41,0.0580106380157836,0.0226874627758459,0.492030156533605,0.390189185618758
1.42,0.0580106001521808,0.022687356747497,0.492027203071142,0.390192187573085
1.43,0.0580105646897854,0.0226872574688271,0.49202443764934,0.390194998434301
1.44,0.0580105316285974,0.0226871649398364,0.492021860268201,0.390197618202405
1.45,0.0580105009686168,0.0226870791605249,0.492019470927723,0.390200046877398
1.46,0.0580104727098437,0.0226870001308925,0.492017269627907,0.390202284459279
1.47,0.058010446852278,0.0226869278509392,0.492015256368753,0.390204330948048
1.48,0.0580104233959198,0.0226868623206651,0.49201343115026,0.390206186343706
1.49,0.058010402340769,0.0226868035400701,0.492011793972429,0.390207850646253
1.5,0.0580103836868256,0.0226867515091542,0.49201034483526,0.390209323855687
1.51,0.0580103674340896,0.0226867062279175,0.492009083738753,0.39021060597201
1.52,0.0580103535825611,0.0226866676963599,0.492008010682907,0.390211696995222
1.53,0.0580103421322401,0.0226866359144815,0.492007125667723,0.390212596925322
1.54,0.0580103330831264,0.0226866108822822,0.492006428693201,0.39021330576231
1.55,0.0580103264352202,0.022686592599762,0.49200591975934,0.390213823506186
1.56,0.0580103221885214,0.0226865810669209,0.492005598866141,0.390214150156952
1.57,0.0580103203430301,0.022686576283759,0.492005466013604,0.390214285714605
1.58,0.0580103208987462,0.0226865782502763,0.492005521201728,0.390214230179147
1.59,0.0580103238556697,0.0226865869664727,0.492005764430515,0.390213983550577
1.6,0.0580103292138007,0.0226866024323482,0.492006195699963,0.390213545828896
1.61,0.0580103369731391,0.0226866246479028,0.492006815010072,0.390212917014103
1.62,0.0580103471336849,0.0226866536131366,0.492007622360844,0.390212097106199
1.63,0.0580103596954382,0.0226866893280495,0.492008617752277,0.390211086105183
1.64,0.0580103746583989,0.0226867317926416,0.492009801184372,0.390209884011055
1.65,0.0580103920225671,0.0226867810069128,0.492011172657128,0.390208490823816
1.66,0.0580104117879426,0.0226868369708631,0.492012732170547,0.390206906543465
1.67,0.0580104339545256,0.0226868996844926,0.492014479724627,0.390205131170002
1.68,0.0580104336742916,0.0226868993106028,0.492014469723619,0.390205141275044
1.69,0.0580104301742334,0.0226868898880701,0.492014207637537,0.39020540741996
1.7,0.0580104272135159,0.0226868819823031,0.492013987808292,0.390205630576617
1.71,0.058010424792139,0.0226868755933019,0.492013810235882,0.390205810745014
1.72,0.0580104229101028,0.0226868707210666,0.492013674920309,0.390205947925153
1.73,0.0580104215674073,0.022686867365597,0.492013581861572,0.390206042117032
1.74,0.0580104207640524,0.0226868655268932,0.492013531059671,0.390206093320653
1.75,0.0580104205000382,0.0226868652049552,0.492013522514607,0.390206101536014
1.76,0.0580104207753647,0.0226868663997831,0.492013556226378,0.390206066763117
1.77,0.0580104215900318,0.0226868691113767,0.492013632194986,0.39020598900196
1.78,0.0580104229440397,0.0226868733397361,0.49201375042043,0.390205868252544
1.79,0.0580104248373881,0.0226868790848614,0.492013910902711,0.390205704514869
1.8,0.0580104272700773,0.0226868863467524,0.492014113641827,0.390205497788935
1.81,0.0580104302421071,0.0226868951254092,0.49201435863778,0.390205248074741
1.82,0.0580104337534775,0.0226869054208318,0.492014645890569,0.390204955372289
1.83,0.0580104378041887,0.0226869172330203,0.492014975400194,0.390204619681578
1.84,0.0580104423942405,0.0226869305619745,0.492015347166656,0.390204241002607
1.85,0.0580104475236329,0.0226869454076945,0.492015761189954,0.390203819335378
1.86,0.0580104531923661,0.0226869617701804,0.492016217470087,0.390203354679889
1.87,0.0580104594004399,0.022686979649432,0.492016716007058,0.390202847036141
1.88,0.0580104661478543,0.0226869990454494,0.492017256800864,0.390202296404134
1.89,0.0580104734346095,0.0226870199582327,0.492017839851507,0.390201702783868
1.9,0.0580104812607053,0.0226870423877817,0.492018465158985,0.390201066175343
1.91,0.0580104896261417,0.0226870663340965,0.4920191327233,0.390200386578559
1.92,0.0580104985309189,0.0226870917971772,0.492019842544452,0.390199663993516
1.93,0.0580105079750367,0.0226871187770236,0.492020594622439,0.390198898420213
1.94,0.0580105179584951,0.0226871472736358,0.492021388957263,0.390198089858652
1.95,0.0580105284812943,0.0226871772870138,0.492022225548923,0.390197238308831
1.96,0.058010539543434,0.0226872088171577,0.492023104397419,0.390196343770751
1.97,0.0580105511449145,0.0226872418640673,0.492024025502751,0.390195406244413
1.98,0.0580105612433805,0.0226872652469336,0.492024672284623,0.390194749512535
1.99,0.0580105703264337,0.022687281635117,0.49202512032495,0.390194296273661
2,0.0579879033029971,0.0226087148405703,0.492024203614281,0.390193889317107
2.01,0.0408518909544135,0.015860317784947,0.457848947429757,0.385991109411855
2.02,0.0334454377023538,0.0146391074631675,0.422537636324157,0.380604639521602
2.03,0.0295770644604782,0.013510338232365,0.389952574814355,0.374574160894923
2.04,0.0268975317637427,0.0124689309821547,0.359883965537407,0.367995484086148
2.05,0.0247120869497932,0.0115061375059466,0.332130741795076,0.360954100233565
2.06,0.0227785123737648,0.0106190767736404,0.30651482734602,0.353527648353662
2.07,0.0210062515518251,0.00980024790928237,0.282875705094642,0.345786990677169
2.08,0.0193790244776616,0.00904436101134724,0.2610603741755,0.337794724075493
2.09,0.0178801723558567,0.00834484791355474,0.240876420292422,0.329625960118795
2.1,0.0165006688646895,0.00769972839117472,0.222258213952496,0.321305957039096
2.11,0.015223996629081,0.00710306928958282,0.205036374899061,0.312898053931971
2.12,0.0140488890913312,0.00655411405337298,0.18918966400019,0.304409541262126
2.13,0.012961239556428,0.00604645292674875,0.174535507998441,0.29590552288997
2.14,0.0119588015781717,0.00557878753062964,0.161035858322316,0.287397434901918
2.15,0.0110342705988313,0.00514755772931185,0.148588114167305,0.278919715989492
2.16,0.010182335656013,0.00475024968606048,0.137119502577848,0.270492540019939
2.17,0.00939640860164021,0.00438367025161261,0.126537921290535,0.262145806613366
2.18,0.0086716483819885,0.00404554439273833,0.116777703416748,0.25389807336928
2.19,0.00800369771946258,0.00373394425745298,0.107783137833909,0.245760380492909
2.2,0.00738674165918025,0.00344607227910315,0.0994734857045636,0.237757968509318
2.21,0.00681814652584782,0.00318077895667801,0.0918155893169957,0.229891993223359
2.22,0.00629306685099661,0.00293579981242603,0.0847440785825323,0.222179503363924
2.23,0.00580792564525238,0.00270946442908293,0.0782107345860674,0.214629762619742
2.24,0.00536070790611031,0.0025008276363721,0.0721882753572604,0.207242631997449
2.25,0.0049471490872963,0.00230790992523816,0.0666195617173167,0.200031216763549
2.26,0.0045660023526644,0.00213010906402962,0.061487206417195,0.19299201719914
2.27,0.00421404224810679,0.00196592201228264,0.0567478234362708,0.186132168647299
2.28,0.00388914362280258,0.00181435728613639,0.0523727931149658,0.179453106859645
2.29,0.00358988993698402,0.00167475459523916,0.0483430562011622,0.172952632195713
2.3,0.00331337687495096,0.00154575556860072,0.0446194017718157,0.166636122856331
2.31,0.00305800069871302,0.00142661395150886,0.0411802887523448,0.160502572060786
2.32,0.00282284827398687,0.00131690928412553,0.0380135806204468,0.154547680180418
2.33,0.00260545783157257,0.00121549053231571,0.0350860517431104,0.148774531588786
2.34,0.00240458116431877,0.00112177596414386,0.0323809099827213,0.14318073468436
2.35,0.00221965267224299,0.00103550241753026,0.0298905589157953,0.137760978000512
2.36,0.00204867182623632,0.000955737055088793,0.0275880715307069,0.13251608800714
2.37,0.00189065089087386,0.000882018696551025,0.0254601354965951,0.127442873375665
2.38,0.00174519347114005,0.000814160895795477,0.0235013688631971,0.122536000190341
2.39,0.00161072851130041,0.000751431464509776,0.0216906364754499,0.117794390650756
2.4,0.00148646150081255,0.000693459562384873,0.0200172337504659,0.11321443356609
2.41,0.00137207972022766,0.000640098979911977,0.0184769402564388,0.108791162868973
2.42,0.00126636017070008,0.000590779097932329,0.0170532846312021,0.104522172348836
2.43,0.00116859856019852,0.000545171371202286,0.0157367831700779,0.100403762685941
2.44,0.00107850204205051,0.000503139573255062,0.0145235035996231,0.0964314251701252
2.45,0.000995337803891701,0.000464341795296911,0.0134035764663454,0.0926014933343717
